gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2021-03-14,0,1.0,0.989370071661,0.891321188099,0.718791912447,0.539613676061,0.413751231347,0.272249528709,1,1,2250,Gonzaga,96.51,West,1,0
mens,2021-03-14,0,1.0,0.976159303101,0.782348841617,0.622164571748,0.431632395576,0.259934350927,0.140857347505,1,1,356,Illinois,93.63,Midwest,1,64
mens,2021-03-14,0,1.0,0.981917758513,0.720742659376,0.570999177102,0.408866105665,0.248602272567,0.136309860466,1,1,239,Baylor,93.7,South,1,96
mens,2021-03-14,0,1.0,0.947320858514,0.719362292915,0.485725330962,0.19093075672,0.120670865548,0.062542160927,1,1,2294,Iowa,91.19,West,2,28
mens,2021-03-14,0,1.0,0.96010969926,0.694926530824,0.446873668961,0.209336571861,0.104034378816,0.046539573508,1,1,248,Houston,89.97,Midwest,2,92
mens,2021-03-14,0,1.0,0.968492260464,0.662630084802,0.415154709777,0.239534802438,0.089863878897,0.041948704787,1,1,130,Michigan,89.56,East,1,32
mens,2021-03-14,0,1.0,0.943556072779,0.700152648045,0.430979403176,0.187128076453,0.088808285951,0.038076615808,1,1,194,Ohio State,89.32,South,2,124
mens,2021-03-14,0,1.0,0.95317197611,0.602163414759,0.373643992726,0.20413158135,0.074033987695,0.033634684701,1,1,333,Alabama,88.99,East,2,60
mens,2021-03-14,0,1.0,0.864193294852,0.508791390721,0.132408167092,0.068008463567,0.037729937288,0.0168947628,1,1,258,Virginia,88.05,West,4,12
mens,2021-03-14,0,1.0,0.878802759074,0.529788446404,0.226249276346,0.066868950685,0.035334240195,0.015010704809,1,1,2305,Kansas,87.38,West,3,20
mens,2021-03-14,0,1.0,0.846652980123,0.492665505383,0.22943645573,0.110905615257,0.034842881172,0.014090421591,1,1,251,Texas,86.79,East,3,52
mens,2021-03-14,0,1.0,0.830108097238,0.470758509091,0.215992040597,0.108191313019,0.034181740151,0.013886743516,1,1,52,Florida State,86.79,East,4,44
mens,2021-03-14,0,1.0,0.905349176082,0.494926365273,0.216883909925,0.081276160576,0.033172512104,0.012277231211,1,1,277,West Virginia,86.58,Midwest,3,84
mens,2021-03-14,0,1.0,0.554057940921,0.162186142102,0.104497294829,0.058529107543,0.026840575143,0.011133175975,1,1,275,Wisconsin,87.33,South,9,102
mens,2021-03-14,0,1.0,0.805247418075,0.497863559595,0.145370967453,0.072859620957,0.029690860892,0.011000131503,1,1,2509,Purdue,86.48,South,4,108
mens,2021-03-14,0,1.0,0.670824370834,0.381770411624,0.185821941701,0.069452809208,0.028993840245,0.010991500112,1,1,2641,Texas Tech,86.45,South,6,112
mens,2021-03-14,0,1.0,0.818711635588,0.413540415046,0.098482251382,0.047692189281,0.025180189046,0.010687573512,1,1,156,Creighton,87.0,West,5,8
mens,2021-03-14,0,1.0,0.761491698476,0.402535519781,0.190816405692,0.069311088781,0.028232940523,0.010455809632,1,1,8,Arkansas,86.26,South,3,116
mens,2021-03-14,0,1.0,0.695134247809,0.369073455563,0.163888880336,0.079866432403,0.024436404322,0.009670169073,1,1,38,Colorado,86.04,East,5,40
mens,2021-03-14,0,1.0,0.745465531833,0.44291247589,0.12875534085,0.059814811949,0.023540767234,0.008416329069,1,1,2633,Tennessee,85.82,Midwest,5,72
